2020년,업무,실내습도(%),실내온도(℃),pH,EC,수온(℃),광시간(명/암),수온(℃),pH,EC,기타(수경인삼),
01월 01일,,,,,,,,,,,,
01월 02일,,,,,,,,,,,,
01월 03일,,,,,,,,,,,,
01월 04일,,,,,,,,,,,,
01월 05일,,,,,,,,,,,,
01월 06일,,,,,,,,,,,,
01월 07일,,,,,,,,,,,,
01월 08일,,,,,,,,,,,,
01월 09일,,,,,,,,,,,,
01월 10일,,,,,,,,,,,,
01월 11일,,,,,,,,,,,,
01월 12일,,,,,,,,,,,,
01월 13일,,,,,,,,,,,,
01월 14일,,,,,,,,,,,,
01월 15일,,,,,,,,,,,,
01월 16일,,,,,,,,,,,,
01월 17일,,,,,,,,,,,,
01월 18일,,,,,,,,,,,,
01월 19일,,,,,,,,,,,,
01월 20일,,,,,,,,,,,,
01월 21일,,,,,,,,,,,,
01월 22일,,,,,,,,,,,,
01월 23일,,,,,,,,,,,,
01월 24일,,,,,,,,,,,,
01월 25일,,,,,,,,,,,,
01월 26일,,,,,,,,,,,,
01월 27일,,,,,,,,,,,,
01월 28일,,,,,,,,,,,,
01월 29일,,,,,,,,,,,,
01월 30일,,,,,,,,,,,,
01월 31일,,,,,,,,,,,,
02월 01일,,,,,,,,,,,,
02월 02일,,,,,,,,,,,,
02월 03일,,,,,,,,,,,,
02월 04일,,,,,,,,,,,,
02월 05일,,,,,,,,,,,,
02월 06일,,,,,,,,,,,,
02월 07일,,,,,,,,,,,,
02월 08일,,,,,,,,,,,,
02월 09일,,,,,,,,,,,,
02월 10일,,,,,,,,,,,,
02월 11일,,,,,,,,,,,,
02월 12일,,,,,,,,,,,,
02월 13일,,,,,,,,,,,,
02월 14일,,,,,,,,,,,,
02월 15일,,,,,,,,,,,,
02월 16일,,,,,,,,,,,,
02월 17일,,,,,,,,,,,,
02월 18일,,,,,,,,,,,,
02월 19일,,,,,,,,,,,,
02월 20일,,,,,,,,,,,,
02월 21일,,,,,,,,,,,,
02월 22일,,,,,,,,,,,,
02월 23일,,,,,,,,,,,,
02월 24일,,,,,,,,,,,,
02월 25일,,,,,,,,,,,,
02월 26일,,,,,,,,,,,,
02월 27일,,,,,,,,,,,,
02월 28일,,,,,,,,,,,,
02월 29일,,,,,,,,,,,,
03월 01일,,,,,,,,,,,,
03월 02일,,,,,,,,,,,,
03월 03일,,,,,,,,,,,,
03월 04일,,,,,,,,,,,,
03월 05일,,,,,,,,,,,,
03월 06일,묘삼 발아,,,,,,,,,,"석회보르도 1000ppm, 10분 살균
23℃, 광공급(2줄)",
03월 07일,,,,,,,,,,,,
03월 08일,,,,,,,,,,,,
03월 09일,,,,,,,,,,,곰팡이 발생,
03월 10일,,63~67,19.5~21.7,,,,,,,,,
03월 11일,,66~76,20.3~20.9,,,,,,,,"set: 21℃, 80%",
03월 12일,정식,74~76,20.3~20.9,5.8,0.1,19.8,12/12,17.3,,0.4,관수: 60초/15분,
03월 13일,"보식, 세척 및 발아",75~80,20.0~20.8,6,0.4,16.3,12/12,,,,,
03월 14일,,,,,,,12/12,,,,,
03월 15일,,,,,,,12/12,,,,,
03월 16일,보식,78~81,20.0~20.8,6,0.4,16.6,12/12,,,,발아: 곰팡이 일부 발생,
03월 17일,,78~81,20.0~20.8,6,0.5,16.7,12/12,,,,습도 85% 세팅,
03월 18일,2차정식,79~85,20.1~20.8,6,0.5,16.3,12/12,,,,1단 정식 완료,
03월 19일,보식,83~85,20.2~21.1,6,0.5,16.3,12/12,,,,2단,
03월 20일,보식,81~85,20.2~21.6,6,0.5,16.5,12/12,,,,"2단, 양액 교환",
03월 21일,,,,,,,12/12,,,,,
03월 22일,,,,,,,12/12,,,,,
03월 23일,양액교환,78~84,20.3~21.7,6,0.4,16.3,12/12,,,,,
03월 24일,,76~82,20.3~21.9,6,0.4,16.6,12/12,,,,,
03월 25일,,75~82,20.3~22.0,6,0.4,16.2,12/12,,,,온도 1℃ 낮춤,
03월 26일,양액 교환,75~82,19.5~22.0,6,0.4,16.5,12/12,,,,"관수시간: 60초/20분
습도 75%로 세팅",
03월 27일,,67~80,19.3~21.0,6,0.4,16.5,12/12,,,,,
